,fantaSquad,role,name,team,image
49,MaiNa Joya_v2.0,A,Ignacio Pussetto,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/PUSSETTO.png
50,AC Picchia,P,Lorenzo Montipò,Verona,https://content.fantacalcio.it/web/campioncini/card2021/MONTIPO.png
51,AC Picchia,P,Mattia Perin,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/PERIN.png
52,AC Picchia,P,Wojciech Szczesny,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/SZCZESNY.png
53,AC Picchia,D,Alex Sandro,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/ALEX-SANDRO.png
54,AC Picchia,D,Davide Calabria,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/CALABRIA.png
55,AC Picchia,D,Dalbert,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/DALBERT.png
56,AC Picchia,D,Matthijs de Ligt,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DE-LIGT.png
57,AC Picchia,D,Marco Faraoni,Verona,https://content.fantacalcio.it/web/campioncini/card2021/FARAONI.png
58,AC Picchia,D,Alessandro Florenzi,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/FLORENZI.png
59,AC Picchia,D,Álvaro Odriozola,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/ODRIOZOLA.png
60,AC Picchia,D,Jens Stryger Larsen,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/STRYGER-LARSEN.png
61,AC Picchia,C,Mattia Aramu,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/ARAMU.png
62,AC Picchia,C,Hakan Calhanoglu,Inter,https://content.fantacalcio.it/web/campioncini/card2021/CALHANOGLU.png
63,AC Picchia,C,Ruslan Malinovskiy,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MALINOVSKYI.png
64,AC Picchia,C,Razvan Marin,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/MARIN.png
65,AC Picchia,C,Nahitan Nández,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/NANDEZ.png
66,AC Picchia,C,Riccardo Orsolini,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/ORSOLINI.png
67,AC Picchia,C,Mattias Svanberg,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/SVANBERG.png
68,AC Picchia,C,Morten Thorsby,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/THORSBY.png
69,AC Picchia,A,Andrea Belotti,Torino,https://content.fantacalcio.it/web/campioncini/card2021/BELOTTI.png
70,AC Picchia,A,Jeremie Boga,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/BOGA.png
71,AC Picchia,A,Olivier Giroud,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/GIROUD.png
72,AC Picchia,A,Thomas Henry,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/HENRY.png
73,AC Picchia,A,Luis Muriel,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MURIEL.png
74,AC Picchia,A,Daniele Verde,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/VERDE.png
75,AI sereje ja dejeDe jebe tu de jebere,P,Emil Audero,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/AUDERO.png
76,AI sereje ja dejeDe jebe tu de jebere,P,José Reina,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/REINA.png
77,AI sereje ja dejeDe jebe tu de jebere,P,Thomas Strakosha,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/STRAKOSHA.png
78,AI sereje ja dejeDe jebe tu de jebere,D,Tommaso Augello,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/AUGELLO.png
79,AI sereje ja dejeDe jebe tu de jebere,D,Matteo Darmian,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DARMIAN.png
80,AI sereje ja dejeDe jebe tu de jebere,D,Lorenzo De Silvestri,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/DE-SILVESTRI.png
81,AI sereje ja dejeDe jebe tu de jebere,D,Robin Gosens,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/GOSENS.png
82,AI sereje ja dejeDe jebe tu de jebere,D,Ridgeciano Haps,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/HAPS.png
83,AI sereje ja dejeDe jebe tu de jebere,D,Kostas Manolas,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MANOLAS.png
84,AI sereje ja dejeDe jebe tu de jebere,D,Amir Rrahmani,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/RRAHMANI.png
85,AI sereje ja dejeDe jebe tu de jebere,D,Milan Skriniar,Inter,https://content.fantacalcio.it/web/campioncini/card2021/SKRINIAR.png
86,AI sereje ja dejeDe jebe tu de jebere,C,Giacomo Bonaventura,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/BONAVENTURA.png
87,AI sereje ja dejeDe jebe tu de jebere,C,Marcelo Brozovic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BROZOVIC.png
88,AI sereje ja dejeDe jebe tu de jebere,C,Antonio Candreva,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/CANDREVA.png
