fanta_team,role,player,team,image
AI sereje ja dejeDe jebe tu de jebere,P,Thomas Strakosha,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/STRAKOSHA.png
AI sereje ja dejeDe jebe tu de jebere,D,Francesco Acerbi,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/ACERBI.png
AI sereje ja dejeDe jebe tu de jebere,D,Matteo Darmian,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DARMIAN.png
AI sereje ja dejeDe jebe tu de jebere,D,Hans Hateboer,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/HATEBOER.png
AI sereje ja dejeDe jebe tu de jebere,D,Rodrigo Becao,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/RODRIGO-BECAO.png
AI sereje ja dejeDe jebe tu de jebere,D,Amir Rrahmani,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/RRAHMANI.png
AI sereje ja dejeDe jebe tu de jebere,D,Milan Skriniar,Inter,https://content.fantacalcio.it/web/campioncini/card2021/SKRINIAR.png
AI sereje ja dejeDe jebe tu de jebere,D,Axel Tuanzebe,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/TUANZEBE.png
AI sereje ja dejeDe jebe tu de jebere,D,Maya Yoshida,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/YOSHIDA.png
AI sereje ja dejeDe jebe tu de jebere,C,Nedim Bajrami,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/BAJRAMI.png
AI sereje ja dejeDe jebe tu de jebere,C,Giacomo Bonaventura,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/BONAVENTURA.png
AI sereje ja dejeDe jebe tu de jebere,C,Antonio Candreva,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/CANDREVA.png
AI sereje ja dejeDe jebe tu de jebere,C,Filip Djuricic,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/DJURICIC.png
AI sereje ja dejeDe jebe tu de jebere,C,Sasa Lukic,Torino,https://content.fantacalcio.it/web/campioncini/card2021/LUKIC.png
AI sereje ja dejeDe jebe tu de jebere,C,Mattias Svanberg,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/SVANBERG.png
AI sereje ja dejeDe jebe tu de jebere,C,Denis Zakaria,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png
AI sereje ja dejeDe jebe tu de jebere,C,André Anguissa Zambo,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/ANGUISSA.png
AI sereje ja dejeDe jebe tu de jebere,A,Beto,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/BETO.png
AI sereje ja dejeDe jebe tu de jebere,A,Mattia Destro,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/DESTRO.png
AI sereje ja dejeDe jebe tu de jebere,A,Emmanuel Gyasi,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/GYASI.png
AI sereje ja dejeDe jebe tu de jebere,A,Hirving Lozano,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/LOZANO.png
AI sereje ja dejeDe jebe tu de jebere,A,Dusan Vlahovic,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/VLAHOVIC.png
