,fantaSquad,role,name,team,image
112,Tantopekanté,C,Filip Djuricic,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/DJURICIC.png
113,Tantopekanté,C,Nicolas Haas,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/HAAS.png
114,Tantopekanté,C,Dejan Kulusevski,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/KULUSEVSKI.png
115,Tantopekanté,C,Giulio Maggiore,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/MAGGIORE.png
116,Tantopekanté,C,Ruslan Malinovskiy,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MALINOVSKYI.png
117,Tantopekanté,C,Kevin Strootman,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/STROOTMAN.png
118,Tantopekanté,C,Nicolo Zaniolo,Roma,https://content.fantacalcio.it/web/campioncini/card2021/ZANIOLO.png
119,Tantopekanté,A,Olivier Giroud,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/GIROUD.png
120,Tantopekanté,A,Moise Kean,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/KEAN.png
121,Tantopekanté,A,Baldè Keita,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/KEITA-B.png
122,Tantopekanté,A,Pedro,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/PEDRO.png
123,Tantopekanté,A,Fabio Quagliarella,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/QUAGLIARELLA.png
124,Tantopekanté,A,Dusan Vlahovic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/VLAHOVIC.png
125,FANTACALCIO ANCHE IO,P,Emil Audero,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/AUDERO.png
126,FANTACALCIO ANCHE IO,P,Rui Patrício,Roma,https://content.fantacalcio.it/web/campioncini/card2021/RUI-PATRICIO.png
127,FANTACALCIO ANCHE IO,P,Salvatore Sirigu,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/SIRIGU.png
128,FANTACALCIO ANCHE IO,D,Tommaso Augello,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/AUGELLO.png
129,FANTACALCIO ANCHE IO,D,Matthijs de Ligt,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DE-LIGT.png
130,FANTACALCIO ANCHE IO,D,Marco Faraoni,Verona,https://content.fantacalcio.it/web/campioncini/card2021/FARAONI.png
131,FANTACALCIO ANCHE IO,D,Diego Godín,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/GODIN.png
132,FANTACALCIO ANCHE IO,D,Manuel Lazzari,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/LAZZARI.png
133,FANTACALCIO ANCHE IO,D,Bram Nuytinck,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/NUYTINCK.png
134,FANTACALCIO ANCHE IO,D,Wilfried Stephane Singo,Torino,https://content.fantacalcio.it/web/campioncini/card2021/SINGO.png
135,FANTACALCIO ANCHE IO,D,Maya Yoshida,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/YOSHIDA.png
136,FANTACALCIO ANCHE IO,C,Toma Basic,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/BASIC.png
137,FANTACALCIO ANCHE IO,C,Ismael Bennacer,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/BENNACER.png
138,FANTACALCIO ANCHE IO,C,Antonio Candreva,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/CANDREVA.png
139,FANTACALCIO ANCHE IO,C,Felipe Anderson,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/FELIPE-ANDERSON.png
140,FANTACALCIO ANCHE IO,C,Franck Kessié,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/KESSIE.png
141,FANTACALCIO ANCHE IO,C,Darko Lazovic,Verona,https://content.fantacalcio.it/web/campioncini/card2021/LAZOVIC.png
142,FANTACALCIO ANCHE IO,C,Lucas Leiva,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/LUCAS-LEIVA.png
143,FANTACALCIO ANCHE IO,C,Jordan Veretout,Roma,https://content.fantacalcio.it/web/campioncini/card2021/VERETOUT.png
144,FANTACALCIO ANCHE IO,A,Andrea Belotti,Torino,https://content.fantacalcio.it/web/campioncini/card2021/BELOTTI.png
145,FANTACALCIO ANCHE IO,A,Gianluca Caprari,Verona,https://content.fantacalcio.it/web/campioncini/card2021/CAPRARI.png
146,FANTACALCIO ANCHE IO,A,Gerard Deulofeu,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/DEULOFEU.png
147,FANTACALCIO ANCHE IO,A,Zlatan Ibrahimovic,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/IBRAHIMOVIC.png
148,FANTACALCIO ANCHE IO,A,Dries Mertens,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MERTENS.png
149,FANTACALCIO ANCHE IO,A,Duván Zapata,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ZAPATA-D.png
150,Suicide Squad,P,Mike Maignan,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/MAIGNAN.png
151,Suicide Squad,P,Alessandro Plizzari,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/PLIZZARI.png
152,Suicide Squad,P,Ciprian Tatarusanu,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/TATARUSANU.png
153,Suicide Squad,D,Francesco Acerbi,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/ACERBI.png
154,Suicide Squad,D,Simone Bastoni,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/BASTONI-S.png
155,Suicide Squad,D,Davide Calabria,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/CALABRIA.png
156,Suicide Squad,D,Stefan de Vrij,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DE-VRIJ.png
157,Suicide Squad,D,Alessandro Florenzi,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/FLORENZI.png
158,Suicide Squad,D,Ibañez,Roma,https://content.fantacalcio.it/web/campioncini/card2021/IBANEZ.png
159,Suicide Squad,D,Kalidou Koulibaly,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/KOULIBALY.png
160,Suicide Squad,D,Gianluca Mancini,Roma,https://content.fantacalcio.it/web/campioncini/card2021/MANCINI.png
161,Suicide Squad,C,Nicolò Barella,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BARELLA.png
162,Suicide Squad,C,Gaetano Castrovilli,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/CASTROVILLI.png
163,Suicide Squad,C,Marten de Roon,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/DE-ROON.png
164,Suicide Squad,C,Luis Alberto,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/LUIS-ALBERTO.png
165,Suicide Squad,C,Junior Messias,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/MESSIAS.png
166,Suicide Squad,C,Nahitan Nández,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/NANDEZ.png
167,Suicide Squad,C,Fabián,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/RUIZ.png
168,Suicide Squad,C,Hamed Junior Traore,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/TRAORE-HJ.png
169,Suicide Squad,A,Tammy Abraham,Roma,https://content.fantacalcio.it/web/campioncini/card2021/ABRAHAM.png
170,Suicide Squad,A,Domenico Berardi,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/BERARDI.png
171,Suicide Squad,A,Felipe Caicedo,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/CAICEDO.png
172,Suicide Squad,A,Francesco Caputo,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/CAPUTO.png
173,Suicide Squad,A,Hirving Lozano,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/LOZANO.png
174,Suicide Squad,A,Matteo Politano,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/POLITANO.png
175,Fuck You Fc,P,Bartlomiej Dragowski,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/DRAGOWSKI.png
176,Fuck You Fc,P,Mattia Perin,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/PERIN.png
177,Fuck You Fc,P,Wojciech Szczesny,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/SZCZESNY.png
178,Fuck You Fc,D,Juan Cuadrado,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/CUADRADO.png
179,Fuck You Fc,D,Danilo,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DANILO.png
180,Fuck You Fc,D,Lorenzo De Silvestri,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/DE-SILVESTRI.png
181,Fuck You Fc,D,Elseid Hysaj,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/HYSAJ.png
182,Fuck You Fc,D,Kostas Manolas,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MANOLAS.png
183,Fuck You Fc,D,Chris Smalling,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SMALLING.png
184,Fuck You Fc,D,Fikayo Tomori,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/TOMORI.png
185,Fuck You Fc,D,Davide Zappacosta,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPACOSTA.png
186,Fuck You Fc,C,Giacomo Bonaventura,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/BONAVENTURA.png
187,Fuck You Fc,C,Ivan Ilic,Verona,https://content.fantacalcio.it/web/campioncini/card2021/ILIC.png
188,Fuck You Fc,C,Henrikh Mkhitaryan,Roma,https://content.fantacalcio.it/web/campioncini/card2021/MKHITARYAN.png
189,Fuck You Fc,C,Roberto Pereyra,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/PEREYRA.png
190,Fuck You Fc,C,Mattias Svanberg,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/SVANBERG.png
191,Fuck You Fc,C,Lucas Torreira,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/TORREIRA.png
192,Fuck You Fc,C,Arturo Vidal,Inter,https://content.fantacalcio.it/web/campioncini/card2021/VIDAL.png
193,Fuck You Fc,A,Jeremie Boga,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/BOGA.png
194,Fuck You Fc,A,Francesco Forte,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/FORTE.png
195,Fuck You Fc,A,Manolo Gabbiadini,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/GABBIADINI.png
196,Fuck You Fc,A,Josip Ilicic,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ILICIC.png
197,Fuck You Fc,A,Lorenzo Insigne,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/INSIGNE.png
198,Fuck You Fc,A,Lautaro Martínez,Inter,https://content.fantacalcio.it/web/campioncini/card2021/MARTINEZ-L.png
