id,isResult,side,h,a,goals,xG,datetime,forecast,result
13197,True,a,"{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '1'}","{'h': '0.501251', 'a': '0.857291'}",2019-11-04 19:45:00,"{'w': 0.20256378768706856, 'd': 0.37993584079056725, 'l': 0.4175003715223302}",w
13206,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '0'}","{'h': '0.887813', 'a': '0.517338'}",2019-11-10 14:00:00,"{'w': 0.4246009177573454, 'd': 0.37162798965577515, 'l': 0.2037710925868236}",d
13215,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '1'}","{'h': '2.13455', 'a': '0.281611'}",2019-11-24 17:00:00,"{'w': 0.8102497010253469, 'd': 0.15154400884387623, 'l': 0.03820628105938246}",w
13220,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '4', 'a': '3'}","{'h': '0.687361', 'a': '1.32937'}",2019-12-02 19:45:00,"{'w': 0.1930403111698732, 'd': 0.2854701786901811, 'l': 0.5214895101241561}",l
13234,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '0', 'a': '1'}","{'h': '1.19231', 'a': '0.602606'}",2019-12-08 17:00:00,"{'w': 0.5041052869998395, 'd': 0.30874565151431377, 'l': 0.18714906148233926}",l
13243,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '1'}","{'h': '0.947705', 'a': '0.237624'}",2019-12-14 19:45:00,"{'w': 0.5303680829091665, 'd': 0.37844967715317845, 'l': 0.0911822399375142}",w
13255,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '1', 'a': '2'}","{'h': '0.558008', 'a': '0.874375'}",2019-12-18 17:55:00,"{'w': 0.22105466242660385, 'd': 0.3702246653821145, 'l': 0.40872067219123626}",l
13265,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '0'}","{'h': '1.5417', 'a': '1.05525'}",2020-01-06 14:00:00,"{'w': 0.4854444841179578, 'd': 0.2548781176625614, 'l': 0.25967739809926027}",d
13276,True,h,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '242', 'title': 'Brescia', 'short_title': 'BSC'}","{'h': '5', 'a': '1'}","{'h': '3.22026', 'a': '1.00697'}",2020-01-12 14:00:00,"{'w': 0.8010654170155035, 'd': 0.1172950900666492, 'l': 0.08163791023271881}",w
13284,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '5', 'a': '1'}","{'h': '4.87384', 'a': '0.510628'}",2020-01-18 14:00:00,"{'w': 0.9661835191169105, 'd': 0.02540913914226792, 'l': 0.008234253093701476}",l
